"Recip_County","Recip_State","Month","Year","Total","Lat","Long","Cases"
"Chicot County","AR",12,2020,0,33.267139,-91.297158,40929
"Childress County","TX",12,2020,0,34.524624,-100.208166,33491
"Chilton County","AL",12,2020,0,32.854051,-86.726607,80899
"Chippewa County","MI",12,2020,0,46.321819,-84.52063,74373
"Chippewa County","MN",12,2020,0,45.028625,-95.564108,35462
"Chippewa County","WI",12,2020,0,45.069092,-91.283505,172126
"Chisago County","MN",12,2020,0,45.505444,-92.903849,117275
"Chittenden County","VT",12,2020,0,44.463329,-73.06941,66209
"Choctaw County","AL",12,2020,0,31.990954,-88.248889,14311
"Choctaw County","MS",12,2020,0,33.345964,-89.251332,13450
"Choctaw County","OK",12,2020,0,34.027699,-95.554079,27313
"Chouteau County","MT",12,2020,0,47.886834,-110.4362,10079
"Chowan County","NC",12,2020,0,36.128979,-76.602752,22658
"Christian County","IL",12,2020,0,39.545524,-89.279593,70985
"Christian County","MO",12,2020,0,36.969739,-93.187614,161001
"Churchill County","NV",12,2020,0,39.53771,-118.264166,36161
"Cibola County","NM",12,2020,0,34.928272,-107.99268,76735
"Cimarron County","OK",12,2020,0,36.74839,-102.517698,2859
"Citrus County","FL",12,2020,0,28.850292,-82.595552,177646
"Clackamas County","OR",12,2020,0,45.160493,-122.195127,261810
"Claiborne County","MS",12,2020,0,31.97281,-90.915424,19771
"Claiborne County","TN",12,2020,0,36.501572,-83.660698,40408
"Clallam County","WA",12,2020,0,48.110903,-123.88986,18780
"Clare County","MI",12,2020,0,43.991137,-84.838325,32299
