"longitude","latitude","cluster"
-73.705643,44.752712,6
-83.804583,39.416681,2
-77.629009,41.239508,6
-90.60401,34.230316,7
-96.288039,34.582861,3
-84.574121,33.939929,7
-109.775163,31.840129,4
-102.830449,33.60844,3
-83.119224,35.916198,7
-111.773728,35.829692,4
-97.198837,44.966285,2
-85.989602,31.402258,7
-82.84494,31.549245,7
-86.078202,35.488765,7
-100.635231,31.87711,3
-87.801457,34.703112,7
-92.280027,38.503233,2
-99.346622,31.914205,3
-88.220782,39.51368,2
-97.088945,41.57496,2
-104.64011,36.612964,3
-80.655244,32.835018,7
-81.400955,26.118786,5
-96.579428,33.194494,3
-100.272135,34.963358,3
-96.508935,29.596296,3
-83.769773,31.189707,7
-93.232843,33.223038,3
-82.623371,30.221651,5
-82.249608,33.552075,7
-73.626718,42.247696,6
-123.081079,45.941932,1
-76.40426,41.045517,6
-117.911634,46.29285,1
-89.330472,43.471882,2
-80.778455,40.770073,6
-78.639308,34.261602,7
-122.237563,39.177739,4
-98.258129,29.812377,3
-98.476612,34.66263,3
-98.549617,31.951645,3
-99.863649,31.318883,3
-86.988722,31.430926,7
-106.176447,37.213406,1
-121.951543,37.919479,4
-105.524752,42.984623,1
-92.689248,35.265702,3
-83.429445,31.152516,7
-87.645455,41.894294,2
-90.344319,47.758556,2
-97.210343,33.639196,3
-92.810069,38.847093,2
-71.289431,44.652548,6
-124.094133,43.18591,1
-86.243482,32.931445,7
-90.448758,31.866915,3
-101.179665,45.685671,1
-76.07624,42.594039,6
-97.798022,31.391177,3
-81.930109,40.29671,6
-105.42894,37.277547,3
-100.276442,34.091906,3
-98.373438,34.290676,3
-95.183152,44.010639,2
-86.448721,31.243987,7
-89.548897,31.633331,7
-84.762138,33.352897,7
-122.67846,46.196785,1
-95.201553,36.76389,3
-80.231051,37.473603,7
-90.631421,35.827729,7
-102.487774,31.422796,3
-77.08132,35.116829,7
-94.236219,35.583011,3
-83.979187,32.709428,7
-95.38909,42.043119,2
-87.760619,39.002787,2
-86.440871,38.289433,2
-84.611343,44.680175,2
-91.313936,37.966559,2
-82.924783,40.848524,2
-80.107795,41.687876,6
-90.935185,43.242768,2
-96.380177,35.907398,3
-86.320038,31.730311,7
-83.75653,31.920268,7
-90.30512,35.197559,7
-89.132494,35.818795,7
-101.404211,30.717532,3
-120.371585,44.163054,1
-104.567298,44.589266,1
-101.29871,33.609144,3
-90.763984,35.285692,7
-94.070718,46.491653,2
-103.772736,38.30618,3
-104.526945,31.445908,3
-86.869267,34.131923,7
-77.956476,38.48593,6
-88.240619,39.273121,2
-78.828719,35.050192,7
-75.121628,39.328434,6
-77.263442,40.164805,6
-84.994761,35.952398,7
-78.252836,37.520189,6
-96.788517,41.915865,2
-75.941224,36.372174,6
-103.346055,34.572984,3
-124.210929,42.466439,1
-105.373512,38.101996,1
-114.252267,44.273351,1
-105.550352,46.261414,1
-99.726866,41.393893,2
-98.997386,35.645601,3
-103.46225,43.684943,1
-81.604957,41.555037,6
-85.506201,34.852424,7
-93.854878,37.43235,2
-109.505785,40.890099,1
-93.062481,44.670893,2
-96.561327,42.391624,2
-85.609476,31.430654,7
-102.59402,36.28637,3
-87.11436,32.333526,7
-92.653999,33.967823,3
-94.040706,41.68532,2
